Name;Country;Ingredients;Instructions;Meal Type;Spice Level;Cooking Time (minutes);Vegetarian;Main Cooking Method;Serving Temperature;How to Make
Pad Thai;Thailand;Rice noodles, shrimp, eggs, tofu, peanuts, bean sprouts;Soak noodles, stir-fry with shrimp, eggs, and tofu. Add sauce, garnish with peanuts and bean sprouts.;Main;Medium;25;No;Stir-Frying;Hot;Soak rice noodles in warm water, stir-fry shrimp, tofu, and eggs, add noodles and Pad Thai sauce, garnish with peanuts and bean sprouts.
Ratatouille;France;Eggplant, zucchini, bell peppers, tomatoes, onions, garlic;Layer vegetables in a baking dish, season with herbs, bake until tender.;Main;Low;40;Yes;Baking;Hot;Slice vegetables thinly, layer in a baking dish, drizzle with olive oil, season with herbs, and bake until tender.
Bibimbap;South Korea;Rice, beef, vegetables, egg, gochujang;Cook rice, sauté vegetables and beef, fry egg, assemble in a bowl with gochujang.;Main;Medium;30;No;Stir-Frying;Hot;Cook rice, sauté vegetables and beef separately, fry an egg, and assemble all in a bowl with a dollop of gochujang on top.
Shakshuka;Middle East;Tomatoes, peppers, onions, garlic, eggs, spices;Cook tomatoes, peppers, and onions with spices. Crack eggs into the sauce and cook until set.;Breakfast;Medium;20;Yes;Sautéing;Hot;Sauté onions, peppers, and garlic, add tomatoes and spices, simmer and crack eggs on top, cook until eggs are set.
Borscht;Ukraine;Beets, cabbage, potatoes, onions, garlic, beef broth;Boil beets and potatoes, add cabbage, onions, and garlic. Simmer in beef broth until tender.;Soup;Low;60;Yes;Boiling;Hot;Boil beets and potatoes, add chopped cabbage, onions, garlic, and simmer in beef broth until tender.
Chicken Tikka Masala;India;Chicken, yogurt, tomatoes, onions, garlic, ginger, spices;Marinate chicken in yogurt and spices, grill. Cook in a sauce of tomatoes, onions, and spices.;Main;Medium;45;No;Grilling;Hot;Marinate chicken in yogurt and spices, grill until charred, then simmer in a tomato-based sauce until cooked through.
Pho;Vietnam;Beef, rice noodles, broth, herbs, lime;Boil broth with spices, add beef slices and noodles, garnish with herbs and lime.;Main;Low;45;No;Boiling;Hot;Prepare a broth with spices, add beef slices and rice noodles, garnish with fresh herbs and a squeeze of lime.
Hummus;Middle East;Chickpeas, tahini, garlic, lemon juice, olive oil;Blend chickpeas, tahini, garlic, lemon juice, and olive oil until smooth.;Appetizer;None;10;Yes;No-cook;Room;Blend chickpeas, tahini, garlic, lemon juice, and olive oil in a food processor until smooth, adjust seasoning as needed.
Empanadas;Argentina;Flour, beef, onions, spices, olives, eggs;Make dough, fill with beef mixture, bake until golden.;Appetizer;Medium;35;No;Baking;Hot;Prepare dough, cook beef with onions and spices, fill dough circles, fold and bake until golden.
Ramen;Japan;Noodles, broth, pork, egg, nori, bamboo shoots;Boil noodles, prepare broth, add toppings.;Main;Low;30;No;Boiling;Hot;Boil ramen noodles, prepare broth with soy sauce and miso, add pork slices, egg, and toppings.
Ceviche;Peru;Fish, lime juice, onions, cilantro, chili peppers;Marinate fish in lime juice, mix with onions, cilantro, and chili peppers.;Appetizer;High;15;Yes;No-cook;Cold;Dice fish, marinate in lime juice for 10 minutes, add onions, cilantro, and chili peppers, serve immediately.
Tandoori Chicken;India;Chicken, yogurt, lemon juice, spices;Marinate chicken in yogurt, lemon juice, and spices, then grill or bake.;Main;High;50;No;Grilling;Hot;Marinate chicken in yogurt and spices, grill or bake until cooked through and slightly charred.
Pierogi;Poland;Flour, potatoes, cheese, onions;Make dough, fill with potato and cheese mixture, boil and sauté with onions.;Main;Low;40;Yes;Boiling;Hot;Prepare dough, fill with potato and cheese filling, boil until they float, then sauté with onions.
Peking Duck;China;Duck, hoisin sauce, scallions, cucumbers, pancakes;Roast duck, slice and serve with pancakes, hoisin sauce, scallions, and cucumbers.;Main;Low;120;No;Roasting;Hot;Roast duck until skin is crispy, slice thinly, serve with pancakes, hoisin sauce, scallions, and cucumbers.
Tiramisu;Italy;Mascarpone, espresso, ladyfingers, cocoa powder;Layer mascarpone with espresso-dipped ladyfingers, chill and dust with cocoa powder.;Dessert;None;20;Yes;No-cook;Cold;Whisk mascarpone with sugar, dip ladyfingers in espresso, layer with cream mixture, chill and dust with cocoa powder before serving.
Gumbo;USA;Shrimp, sausage, okra, onions, peppers, tomatoes, spices;Cook sausage and shrimp, add vegetables, simmer with spices until thickened.;Main;Medium;60;No;Stewing;Hot;Brown sausage, add shrimp and vegetables, simmer with spices and broth until thickened.
Fajitas;Mexico;Beef, bell peppers, onions, tortillas, spices;Sauté beef with spices, add peppers and onions, serve with warm tortillas.;Main;Medium;25;No;Sautéing;Hot;Season beef strips, sauté with bell peppers and onions, serve with warm tortillas and toppings of choice.
Moussaka;Greece;Eggplant, ground beef, tomatoes, béchamel sauce, cheese;Layer eggplant with ground beef and tomatoes, top with béchamel sauce and cheese, bake.;Main;Medium;60;No;Baking;Hot;Layer fried eggplant with a ground beef mixture, top with béchamel sauce and cheese, bake until golden.
Laksa;Malaysia;Rice noodles, shrimp, coconut milk, curry paste, herbs;Cook noodles, prepare soup with shrimp, coconut milk, and curry paste, serve hot.;Main;High;30;No;Boiling;Hot;Boil rice noodles, prepare a soup base with curry paste and coconut milk, add shrimp, serve hot garnished with herbs.
Baklava;Greece;Phyllo dough, nuts, honey, sugar, butter;Layer phyllo dough with nuts, bake, and drizzle with honey syrup.;Dessert;None;45;Yes;Baking;Room;Layer phyllo dough with a mixture of nuts and sugar, bake until golden, drizzle with honey syrup and let cool.
Pho Ga;Vietnam;Chicken, rice noodles, broth, herbs, lime;Boil chicken in broth with spices, add noodles, garnish with herbs and lime.;Main;Low;45;No;Boiling;Hot;Prepare a spiced broth with chicken, add rice noodles, serve garnished with fresh herbs and a squeeze of lime.
Roti Canai;Malaysia;Flour, water, butter, curry;Knead dough, flatten and cook on a skillet, serve with curry.;Side;None;30;Yes;Griddle;Hot;Knead flour and water into a dough, flatten and fold with butter, cook on a hot skillet, serve with curry.
Clam Chowder;USA;Clams, potatoes, onions, celery, cream;Simmer clams with potatoes, onions, and celery in cream until thickened.;Soup;Low;40;No;Boiling;Hot;Cook onions, celery, and potatoes in butter, add clams and cream, simmer until thickened.
Samosa;India;Flour, potatoes, peas, spices;Make dough, fill with potato and pea mixture, fry until golden.;Appetizer;Medium;30;Yes;Frying;Hot;Prepare dough, fill with a spiced potato and pea mixture, fold into triangles, fry until golden and crispy.
Pavlova;Australia;Egg whites, sugar, cream, fruit;Whip egg whites with sugar, bake, top with whipped cream and fruit.;Dessert;None;90;Yes;Baking;Room;Whisk egg whites with sugar until stiff peaks form, bake until crisp, top with whipped cream and fresh fruit.
Miso Soup;Japan;Miso paste, tofu, seaweed, green onions, dashi broth;Dissolve miso paste in dashi broth, add tofu, seaweed, and green onions, simmer briefly.;Soup;None;10;Yes;Boiling;Hot;Prepare dashi broth, dissolve miso paste, add tofu, seaweed, and green onions, simmer briefly.
Koofteh Tabrizi;Iran;Ground meat, rice, herbs, spices, eggs;Mix meat with rice and herbs, form into balls, simmer in broth until cooked.;Main;Medium;90;No;Boiling;Hot;Mix ground meat with rice, herbs, and spices, form into large balls, simmer in a seasoned broth until cooked through.
Fish and Chips;UK;Fish, potatoes, flour, beer, salt, vinegar;Batter and fry fish, fry potatoes, serve with salt and vinegar.;Main;Low;30;No;Frying;Hot;Batter fish in flour and beer, fry until golden, fry potatoes, serve with salt and malt vinegar.
Fettuccine Alfredo;Italy;Fettuccine, butter, cream, Parmesan cheese, garlic;Boil pasta, mix with butter, cream, and cheese until creamy.;Main;None;20;Yes;Boiling;Hot;Boil fettuccine until al dente, toss with melted butter, cream, and Parmesan cheese until creamy.
Gazpacho;Spain;Tomatoes, cucumbers, bell peppers, onions, garlic, olive oil;Blend all ingredients until smooth, chill before serving.;Soup;None;15;Yes;No-cook;Cold;Blend tomatoes, cucumbers, bell peppers, onions, garlic, and olive oil, chill before serving cold.
Bulgogi;South Korea;Beef, soy sauce, garlic, ginger, sugar, sesame oil;Marinate beef in soy sauce, garlic, ginger, and sugar, grill until caramelized.;Main;Medium;30;No;Grilling;Hot;Marinate beef slices in a mixture of soy sauce, garlic, ginger, and sugar, grill until caramelized and tender.
Pierogies;Poland;Flour, potatoes, cheese, onions, butter;Make dough, fill with potato and cheese mixture, boil, sauté with onions and butter.;Main;Low;40;Yes;Boiling;Hot;Prepare dough, fill with a potato and cheese mixture, boil until they float, sauté with onions and butter before serving.
Bouillabaisse;France;Fish, shellfish, tomatoes, onions, garlic, saffron;Simmer fish and shellfish with tomatoes, onions, garlic, and saffron until cooked.;Main;Low;60;No;Boiling;Hot;Simmer fish and shellfish in a broth with tomatoes, onions, garlic, and saffron, serve hot with crusty bread.
Spaghetti Bolognese;Italy;Spaghetti, ground beef, tomatoes, onions, garlic, herbs;Cook beef with onions, garlic, add tomatoes and herbs, simmer, serve over spaghetti.;Main;Medium;60;No;Boiling;Hot;Brown ground beef with onions and garlic, add tomatoes and herbs, simmer until sauce thickens, serve over spaghetti.
Chicken Parmesan;USA;Chicken, breadcrumbs, Parmesan cheese, marinara sauce, mozzarella;Bread chicken, fry until golden, bake with marinara sauce and cheese until bubbly.;Main;Medium;40;No;Frying;Hot;Bread chicken breasts, fry until golden, bake with marinara sauce and mozzarella until bubbly and melted.
Pho Bo;Vietnam;Beef, rice noodles, broth, herbs, lime;Boil broth with spices, add beef slices and noodles, garnish with herbs and lime.;Main;Low;45;No;Boiling;Hot;Prepare a broth with spices, add beef slices and rice noodles, garnish with fresh herbs and a squeeze of lime.
Eggplant Parmesan;Italy;Eggplant, marinara sauce, mozzarella, Parmesan cheese, basil;Layer fried eggplant with marinara sauce and cheese, bake until bubbly.;Main;Low;45;Yes;Baking;Hot;Fry sliced eggplant, layer with marinara sauce and cheese, bake until bubbly and golden.
Jollof Rice;West Africa;Rice, tomatoes, onions, peppers, chicken, spices;Cook chicken, sauté vegetables, add rice and broth, simmer until rice is tender.;Main;Medium;60;No;Boiling;Hot;Cook chicken with spices, sauté onions, peppers, and tomatoes, add rice and broth, simmer until rice is tender and flavors meld.
Shabu Shabu;Japan;Beef, vegetables, tofu, broth, dipping sauces;Boil broth, dip beef and vegetables in hot broth, serve with dipping sauces.;Main;None;30;No;Boiling;Hot;Boil a light broth, thinly slice beef and prepare vegetables, dip in hot broth and enjoy with various dipping sauces.
Gnocchi;Italy;Potatoes, flour, eggs, Parmesan cheese, butter;Boil potatoes, mash, mix with flour and eggs, shape into dumplings, boil until they float.;Main;Low;30;Yes;Boiling;Hot;Boil and mash potatoes, mix with flour and eggs to form a dough, shape into dumplings, boil until they float, serve with butter and cheese.
Bibimbap;South Korea;Rice, beef, vegetables, egg, gochujang;Cook rice, sauté vegetables and beef, fry egg, assemble in a bowl with gochujang.;Main;Medium;30;No;Stir-Frying;Hot;Cook rice, sauté vegetables and beef separately, fry an egg, and assemble all in a bowl with a dollop of gochujang on top.
Chow Mein;China;Noodles, chicken, vegetables, soy sauce, garlic;Stir-fry chicken and vegetables with noodles, season with soy sauce and garlic.;Main;Low;20;No;Stir-Frying;Hot;Stir-fry chicken, vegetables, and noodles together with soy sauce and garlic until heated through.
Coq au Vin;France;Chicken, red wine, mushrooms, onions, garlic, herbs;Cook chicken with red wine, mushrooms, and onions until tender.;Main;Low;90;No;Braising;Hot;Brown chicken pieces, add wine, mushrooms, onions, and herbs, simmer until chicken is tender and flavors meld.
Poutine;Canada;Fries, cheese curds, gravy;Layer fries with cheese curds, top with hot gravy.;Side;None;30;Yes;Frying;Hot;Fry potatoes until crispy, layer with cheese curds, pour hot gravy on top to melt the cheese slightly.
Bruschetta;Italy;Bread, tomatoes, basil, garlic, olive oil;Toast bread, top with diced tomatoes, basil, garlic, and olive oil.;Appetizer;None;10;Yes;Toasting;Room;Toast slices of bread, top with a mixture of diced tomatoes, chopped basil, minced garlic, and a drizzle of olive oil.
Chicken Vindaloo;India;Chicken, vinegar, spices, onions, tomatoes, garlic;Marinate chicken in vinegar and spices, cook with onions and tomatoes until tender.;Main;High;60;No;Sautéing;Hot;Marinate chicken in vinegar and spices, sauté with onions and tomatoes, simmer until cooked and flavors develop.
Mole Poblano;Mexico;Chicken, chilies, chocolate, nuts, spices;Cook chilies and spices, blend with chocolate and nuts, simmer with chicken.;Main;High;120;No;Stewing;Hot;Prepare a sauce with chilies, chocolate, nuts, and spices, simmer with chicken until cooked through and sauce is thickened.
Pad Kra Pao;Thailand;Pork, basil, garlic, chilies, soy sauce;Stir-fry pork with basil, garlic, and chilies, season with soy sauce.;Main;High;15;No;Stir-Frying;Hot;Stir-fry minced pork with garlic, chilies, and basil, season with soy sauce and fish sauce.
Hainanese Chicken Rice;Singapore;Chicken, rice, ginger, garlic, chili sauce;Boil chicken, cook rice with chicken broth, serve with chili sauce.;Main;None;60;No;Boiling;Room;Poach chicken, cook rice in the chicken broth, serve with ginger garlic paste and chili sauce.
Crepes;France;Flour, eggs, milk, butter, sugar;Mix ingredients into a batter, cook on a skillet, fill with sweet or savory toppings.;Dessert;None;15;Yes;Griddle;Hot;Whisk flour, eggs, milk, and butter into a smooth batter, pour thinly on a hot skillet, cook until edges lift, fill with desired toppings.
Meat Pie;Australia;Ground beef, onions, flour, butter, spices;Cook beef with onions, thicken with flour, fill pie crusts, and bake.;Main;Low;45;No;Baking;Hot;Brown ground beef with onions, add flour to thicken, fill pie crusts, bake until golden brown.
Kebab;Turkey;Lamb, garlic, spices, yogurt, vegetables;Marinate lamb in yogurt and spices, skewer with vegetables, grill until cooked.;Main;Medium;30;No;Grilling;Hot;Marinate lamb cubes in yogurt and spices, skewer with vegetables, grill until cooked through.
Jambalaya;USA;Rice, chicken, sausage, peppers, tomatoes, spices;Cook chicken and sausage with vegetables and spices, add rice and broth, simmer until tender.;Main;High;60;No;Boiling;Hot;Brown chicken and sausage, sauté with onions, peppers, and tomatoes, add rice and broth, simmer until rice is tender and flavors meld.
Churros;Spain;Flour, sugar, cinnamon, butter, oil;Mix flour, sugar, and butter into a dough, pipe into hot oil, fry until golden, coat with cinnamon sugar.;Dessert;None;30;Yes;Frying;Hot;Mix dough, pipe into hot oil, fry until golden, roll in cinnamon sugar, serve warm.
Borscht;Ukraine;Beets, cabbage, potatoes, carrots, onions, garlic, broth;Simmer vegetables in broth until tender, serve with sour cream.;Soup;None;60;Yes;Boiling;Hot;Simmer beets, cabbage, potatoes, carrots, and onions in broth until tender, serve hot with a dollop of sour cream.
Shakshuka;Middle East;Tomatoes, bell peppers, onions, garlic, eggs, spices;Cook vegetables with spices, crack eggs on top, simmer until eggs are set.;Breakfast;Medium;25;Yes;Simmering;Hot;Cook tomatoes, bell peppers, onions, and garlic with spices, crack eggs on top, cover, and simmer until eggs are set.
Couscous;Morocco;Couscous, vegetables, chickpeas, spices;Steam couscous, mix with cooked vegetables and spices.;Main;Low;20;Yes;Steaming;Hot;Steam couscous until fluffy, mix with sautéed vegetables and chickpeas, season with spices.
Tofu Stir-Fry;China;Tofu, bell peppers, broccoli, soy sauce, garlic;Sauté tofu with vegetables and soy sauce until tender.;Main;Low;15;Yes;Stir-Frying;Hot;Sauté tofu with bell peppers and broccoli, add soy sauce and garlic, cook until vegetables are tender.
Goulash;Hungary;Beef, paprika, onions, potatoes, tomatoes, peppers;Simmer beef with vegetables and paprika until tender.;Main;Medium;90;No;Stewing;Hot;Brown beef with onions and paprika, add potatoes, tomatoes, and peppers, simmer until tender.
Falafel;Middle East;Chickpeas, onions, garlic, parsley, spices;Blend ingredients into a paste, form into balls, fry until golden.;Appetizer;Medium;20;Yes;Frying;Hot;Blend chickpeas with onions, garlic, parsley, and spices into a paste, form into balls, fry until golden and crispy.
Paneer Tikka;India;Paneer, yogurt, spices, bell peppers, onions;Marinate paneer in yogurt and spices, grill with vegetables.;Appetizer;Medium;30;Yes;Grilling;Hot;Marinate paneer cubes in a spiced yogurt mixture, skewer with bell peppers and onions, grill until charred.
Tom Yum Soup;Thailand;Shrimp, mushrooms, lemongrass, lime, chilies, broth;Boil broth with shrimp and mushrooms, add lemongrass, lime, and chilies.;Soup;High;30;No;Boiling;Hot;Boil broth with shrimp, mushrooms, lemongrass, and lime leaves, add chilies for spice, serve hot.
Kimchi Jjigae;South Korea;Kimchi, pork, tofu, onions, garlic, broth;Simmer kimchi with pork and tofu in broth until flavors meld.;Main;High;40;No;Boiling;Hot;Simmer kimchi with pork and tofu in a rich broth until flavors meld, serve hot with rice.
Pad Thai;Thailand;Rice noodles, shrimp, peanuts, tofu, tamarind, egg;Stir-fry noodles with shrimp, tofu, and sauce, garnish with peanuts.;Main;Medium;25;No;Stir-Frying;Hot;Stir-fry rice noodles with shrimp, tofu, eggs, and tamarind sauce, garnish with crushed peanuts and lime.
Ceviche;Peru;Fish, lime, onions, cilantro, chili peppers;Marinate fish in lime juice with onions and cilantro, serve chilled.;Appetizer;High;20;No;No-cook;Cold;Dice fish, marinate in fresh lime juice with onions, cilantro, and chili peppers, serve chilled.
Dolma;Turkey;Grape leaves, rice, onions, herbs, spices;Stuff grape leaves with rice and herb mixture, simmer in broth.;Appetizer;Medium;60;Yes;Stewing;Hot;Mix rice with onions and herbs, stuff into grape leaves, simmer in seasoned broth until tender.
Risotto;Italy;Arborio rice, onions, broth, Parmesan cheese, butter;Cook rice slowly in broth, stirring constantly, add cheese.;Main;None;30;Yes;Simmering;Hot;Sauté onions in butter, add rice, gradually stir in broth until creamy, finish with Parmesan cheese.
Empanadas;Argentina;Flour, ground beef, onions, spices, olives;Fill dough with beef mixture, fold and seal, bake until golden.;Appetizer;Medium;35;No;Baking;Hot;Prepare dough, fill with a seasoned ground beef mixture, fold and seal edges, bake until golden brown.
Clafoutis;France;Cherries, flour, sugar, eggs, milk, butter;Mix ingredients, pour over cherries, bake until set.;Dessert;None;40;Yes;Baking;Room;Whisk flour, sugar, eggs, and milk, pour over cherries in a baking dish, bake until set and lightly golden.
Hummus;Middle East;Chickpeas, tahini, garlic, lemon, olive oil;Blend chickpeas with tahini, garlic, lemon, and olive oil until smooth.;Appetizer;None;10;Yes;Blending;Room;Blend chickpeas with tahini, garlic, lemon juice, and olive oil until smooth and creamy, serve with pita bread.
Moussaka;Greece;Eggplant, ground lamb, tomatoes, béchamel sauce;Layer eggplant with lamb and tomatoes, top with béchamel sauce, bake.;Main;Medium;70;No;Baking;Hot;Layer sliced eggplant with seasoned ground lamb and tomatoes, top with béchamel sauce, bake until golden and bubbly.
Bulgur Pilaf;Turkey;Bulgur, tomatoes, onions, peppers, broth;Cook bulgur with vegetables and broth until tender.;Main;None;25;Yes;Simmering;Hot;Sauté onions and peppers, add bulgur and tomatoes, pour in broth, simmer until bulgur is tender.
Shish Taouk;Lebanon;Chicken, garlic, lemon, spices, yogurt;Marinate chicken in garlic, lemon, spices, and yogurt, grill.;Main;Medium;30;No;Grilling;Hot;Marinate chicken pieces in a mixture of garlic, lemon juice, spices, and yogurt, grill until cooked through.
Panna Cotta;Italy;Cream, sugar, vanilla, gelatin;Simmer cream with sugar and vanilla, add gelatin, chill until set.;Dessert;None;15;Yes;No-cook;Cold;Heat cream with sugar and vanilla, dissolve gelatin, pour into molds, chill until set.
Sauerbraten;Germany;Beef, vinegar, onions, spices, gingersnaps;Marinate beef in vinegar and spices, braise until tender, serve with gingersnap gravy.;Main;Low;180;No;Braising;Hot;Marinate beef in vinegar and spices for several days, braise in marinade until tender, thicken sauce with crushed gingersnaps.
Fatteh;Middle East;Pita bread, chickpeas, yogurt, garlic, pine nuts;Layer bread with chickpeas and yogurt sauce, top with pine nuts.;Main;None;20;Yes;Layering;Room;Toast pita bread, layer with chickpeas, cover with a garlicky yogurt sauce, sprinkle with pine nuts.
Baba Ganoush;Middle East;Eggplant, tahini, garlic, lemon, olive oil;Roast eggplant, blend with tahini, garlic, lemon, and olive oil.;Appetizer;None;30;Yes;Roasting;Room;Roast whole eggplant until charred, scoop out flesh, blend with tahini, garlic, lemon juice, and olive oil.
Plov;Uzbekistan;Rice, lamb, carrots, onions, spices;Cook lamb with spices and vegetables, add rice, simmer until rice is tender.;Main;Medium;90;No;Boiling;Hot;Sauté lamb with spices, add onions and carrots, stir in rice and broth, simmer until rice is cooked and flavors meld.
Pasta Carbonara;Italy;Spaghetti, eggs, pancetta, Parmesan cheese, black pepper;Cook spaghetti, mix with eggs, pancetta, and cheese, serve hot.;Main;None;20;No;Boiling;Hot;Boil spaghetti until al dente, mix hot pasta with beaten eggs, cooked pancetta, and Parmesan cheese, serve immediately.
Leek and Potato Soup;France;Leeks, potatoes, onions, garlic, broth;Simmer leeks and potatoes in broth, blend until smooth.;Soup;None;45;Yes;Boiling;Hot;Cook leeks and potatoes in broth with garlic until soft, blend until smooth, adjust seasoning, serve hot.
Katsudon;Japan;Pork cutlet, eggs, onions, soy sauce, rice;Fry pork cutlet, simmer in sauce with onions, pour over rice with egg.;Main;Low;30;No;Frying;Hot;Fry breaded pork cutlet until crispy, simmer with onions in a sweet soy sauce mixture, add beaten egg, serve over rice.
Creme Brulee;France;Cream, sugar, vanilla, egg yolks;Bake custard, chill, top with sugar, and caramelize with a torch.;Dessert;None;45;Yes;Baking;Cold;Whisk cream, sugar, vanilla, and egg yolks, bake in a water bath, chill, sprinkle with sugar, caramelize with a kitchen torch.
Beef Wellington;UK;Beef fillet, mushrooms, puff pastry, prosciutto, mustard;Wrap beef in mushrooms and pastry, bake until golden.;Main;None;120;No;Baking;Hot;Sear beef fillet, coat with mustard, wrap in prosciutto and mushroom duxelles, cover with puff pastry, bake until golden brown.
Biryani;India;Rice, chicken, saffron, spices, yogurt;Layer rice with marinated chicken and spices, cook until fragrant.;Main;High;75;No;Simmering;Hot;Layer partially cooked rice with marinated chicken, saffron, and spices, cook on low heat until rice is fully cooked and aromatic.
Gado-Gado;Indonesia;Vegetables, tofu, peanut sauce, boiled egg, crackers;Toss vegetables and tofu with peanut sauce, top with egg and crackers.;Main;Low;25;Yes;Mixing;Room;Blanch vegetables, toss with tofu and peanut sauce, garnish with boiled egg and prawn crackers.
Samosa;India;Flour, potatoes, peas, spices, oil;Fill dough with spiced potato mixture, fold into triangles, fry until crispy.;Appetizer;Medium;30;Yes;Frying;Hot;Prepare dough, fill with a spiced potato and pea mixture, fold into triangles, deep fry until golden and crispy.
Khachapuri;Georgia;Flour, cheese, eggs, butter;Fill dough with cheese, bake until bubbly, top with an egg.;Main;None;25;Yes;Baking;Hot;Prepare dough, fill with a mixture of cheese, bake until cheese is bubbly and crust is golden, crack an egg on top before serving.
Cottage Pie;UK;Ground beef, potatoes, onions, carrots, peas;Cook beef with vegetables, top with mashed potatoes, bake.;Main;Low;60;No;Baking;Hot;Cook ground beef with onions, carrots, and peas, top with mashed potatoes, bake until golden brown and bubbling.
Bibimbap;South Korea;Rice, beef, vegetables, egg, chili paste;Top rice with beef, vegetables, and egg, mix with chili paste before eating.;Main;Medium;45;No;Mixing;Hot;Cook rice, sauté vegetables and beef, arrange on top of rice, add a fried egg, mix with gochujang paste before eating.
Ratatouille;France;Eggplant, zucchini, tomatoes, peppers, onions;Layer vegetables, bake until tender, serve as a side dish.;Side;None;60;Yes;Baking;Hot;Thinly slice eggplant, zucchini, tomatoes, peppers, and onions, layer in a baking dish, drizzle with olive oil, bake until tender.
Sweet and Sour Pork;China;Pork, pineapple, bell peppers, vinegar, sugar;Fry pork, toss with pineapple and sauce until coated.;Main;High;30;No;Frying;Hot;Deep fry pork chunks until crispy, stir-fry with bell peppers and pineapple, toss in a sweet and sour sauce until coated.
Vichyssoise;France;Leeks, potatoes, onions, cream, broth;Cook vegetables in broth, blend, chill, serve cold.;Soup;None;60;Yes;Blending;Cold;Simmer leeks, potatoes, and onions in broth until soft, blend until smooth, stir in cream, chill, serve cold.
Margherita Pizza;Italy;Flour, tomatoes, mozzarella, basil, olive oil;Top dough with tomatoes and mozzarella, bake, garnish with basil.;Main;None;15;Yes;Baking;Hot;Prepare pizza dough, top with tomato sauce and mozzarella slices, bake in a hot oven until cheese melts, garnish with fresh basil leaves.
Spring Rolls;Vietnam;Rice paper, shrimp, vegetables, noodles, herbs;Fill rice paper with shrimp and vegetables, roll tightly, serve with dipping sauce.;Appetizer;None;20;No;Rolling;Room;Soak rice paper sheets, fill with shrimp, vermicelli noodles, vegetables, and herbs, roll tightly, serve with a dipping sauce.
Bouillabaisse;France;Fish, shellfish, tomatoes, fennel, garlic, saffron;Simmer seafood in a broth with tomatoes, fennel, and saffron.;Main;High;90;No;Simmering;Hot;Prepare a broth with tomatoes, fennel, garlic, and saffron, add a variety of fish and shellfish, simmer until seafood is cooked.
